"city","country","continent","SYSTEM","date_metro_commenced","metro_length","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS","year_metro_commenced"
"Novosibirsk","Russia","Asia","Metro","7 Jan 1986",16.4,13,12,2,"1,487 m",8.2,6.5,"208,000","12,700","76 million",2011,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1986
"Nuremberg","Germany","Europe","U-Bahn","1 Mar 1972",36,48,44,3,"800 m",12,16,"323,000","8,980","118 million",2011,"","right","1435","third rail","750","lines U2, U3, no PSDs, sharing tracks with driver-operated trains","",2008,"","","yes","",1972
"Oporto","Portugal","Europe","Metro","7 Dec 2002",21.7,16,15,2,"1,550 m",10.9,8,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","yes","yes","16 undeground stations, 9,5 km underground. Total 70km81st Wiki",2002
"Osaka","Japan","Asia","Subway","20 May 1933",137.8,133,104,9,"1,111 m",15.3,14.8,"2.29 million","16,600","836 million",2010,"","left","1435","third rail","750, 600 (Nanko Port Town Line)","Nanko Port Town Line, rubber-tyred","Nanko Port Town Line",1981,"all stations on the Nanko Port Town Line","","yes","Monorail not included (23.8 km, 18 st). OTS + new tram included",1933
"Oslo","Norway","Europe","T-Bane","22 May 1966",62,77,77,5,"861 m",12.4,15.4,"208,000","3,360","76 million",2010,"2.67 EUR","right","1435","third rail","750","","",NA,"","","yes","Line 1 not included (it has level crossings). Length not sure",1966
"Palma de Mallorca","Spain","Europe","Metro","25 Apr 2007",8.3,9,9,1,"1,038 m",8.3,9,"","","",NA,"","","1000","","1500","","",NA,"","","","",2007
"Panama City","Panama","America","Metro","5 Apr 2014",13.7,13,13,1,"1,142 m",13.7,13,"","","",NA,"","","","","","","",NA,"","","","",2014
"Paris","France","Europe","M_tro","19 Jul 1900",219.9,383,303,16,"599 m",13.7,23.9,"4.18 million","19,000","1,524 million",2011,"1.57 EUR","right (metro), left (RER)","1435","third rail","750","lines 1, 14, rubber-tyred","lines 1, 4, 6, 11, 14",1998,"lines 1, 13 (part), 14","lines 1, 2, 5, 9","lines 1, 2, 5, 7bis, 9, 14","",1900
"Perugia","Italy","Europe","Minimetro","29 Jan 2008",3,7,7,1,"500 m",3,7,"","","",NA,"","","","","","Minimetro","",2008,"","","","",2008
"Philadelphia","USA","America","Subway","4 Mar 1907",62,66,62,3,"984 m",20.7,22,"293,000","4,730","107 million",2011,"","right","1435, 1588 (Market-Frankford Line)","third rail","600, 685 (PATCO)","","",NA,"","yes","","PATCO line included. Subway trolley not (10 stations)",1907
"Pittsburgh","USA","America","T","3 Jul 1985",4.8,6,6,1,"960 m",4.8,6,"","","",NA,"","right","","","","","",NA,"","","","Full metro section length unknown (all lines: 40 km).2.90 is the length of the tunnel section.",1985
"Porto Alegre","Brazil","America","Metro","2 Mar 1985",33.8,17,17,1,"2,112 m",33.8,17,"","","",NA,"","right","","","","","",NA,"","","","According to official website",1985
"Poznan","Poland","Europe","Fast Tram","1 Mar 1997",6.1,6,6,1,"1,220 m",6.1,6,"","","",NA,"","","","","","","",NA,"","","","Rapid Tram",1997
"Prague","Czech Republic","Europe","Metro","9 May 1974",65.1,61,58,3,"1,122 m",21.7,20.3,"1.45 million","22,300","530 million",2011,"0.65 EUR","right","1435","third rail","750","","",NA,"","","yes","",1974
"Pyongyang","North Korea","Asia","Metro","6 Sep 1973",22.5,16,15,2,"1,607 m",11.3,8,"98,600","4,380","36 million",2009,"","","1435","third rail","825","","",NA,"","","","",1973
"Qingdao","China","Asia","Metro","16 Dec 2015",12,10,10,1,"1,333 m",12,10,"","","",NA,"","","","","","","",NA,"","","","",2015
"Recife","Brazil","America","Metré","11 Mar 1985",39.7,30,28,2,"1,418 m",19.9,15,"","","",NA,"","right","","","","","",NA,"","","","According to official website",1985
"Rennes","France","Europe","M_tro","16 Mar 2002",9,15,15,1,"643 m",9,15,"129,000","14,300","47 million",2011,"","right","","","","VAL","yes",2002,"VAL","","yes","",2002
"Rio de Janeiro","Brazil","America","Metré","5 Mar 1979",42,36,36,2,"1,235 m",21,18,"581,000","13,800","212 million",2010,"0.77 EUR","right","1600","third rail","750","","",NA,"","yes","","",1979
"Rome","Italy","Europe","Metropolitana","10 Feb 1955",61,74,73,3,"859 m",20.3,24.7,"907,000","14,900","331 million",2008,"1.00 EUR","left","1435","overhead wire","1500","","",NA,"","yes","yes","",1955
"Rotterdam","Netherlands","Europe","Metro","10 Feb 1968",47,38,37,2,"1,306 m",23.5,19,"238,000","5,070","87 million",2008,"","right","1435","third rail","750","","",NA,"","","","Only metro section. Sneltram: 8.4 km, 11 stations. 'Metros in Holland'",1968
"Rouen","France","Europe","M_tro","17 Dec 1994",2.2,5,5,1,"550 m",2.2,5,"","","",NA,"","","","","","","",NA,"","","","5 underground stations",1994
"Saint Louis","USA","America","Metrolink","31 Jul 1993",73.4,37,37,2,"2,097 m",36.7,18.5,"","","",NA,"","right","","","","","",NA,"","","","",1993
"Saint Petersburg","Russia","Europe","Metro","15 Nov 1955",113.5,67,59,5,"1,831 m",22.7,13.4,"2.15 million","19,000","786 million",2011,"","right","1520","third rail","825","","",NA,"windowless steel doors in ten stations","","","According to Mr. Yuri Popov",1955
"Salvador","Brazil","America","Metré","11 Jun 2014",11.9,8,8,1,"1,700 m",11.9,8,"","","",NA,"","","1435","","","","",NA,"","yes","","",2014
"Samara","Russia","Europe","Metro","26 Dec 1987",11.6,10,10,1,"1,289 m",11.6,10,"43,800","3,780","16 million",2011,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1987
"San Francisco","USA","America","BART","11 Sep 1972",166.9,44,44,5,"4,279 m",33.4,8.8,"304,000","1,820","111 million",2012,"","right","1676","third rail","1000","","",NA,"","yes","","MUNI not included (8 underground stations)",1972
"San Juan","Puerto Rico","America","Tren Urbano","6 Jun 2005",17.2,16,16,1,"1,147 m",17.2,16,"30,100","1,750","11 million",2011,"","","","","","","",NA,"","","","",2005
"Santiago","Chile","America","Metro","15 Sep 1975",102.4,108,100,5,"994 m",20.5,21.6,"1.75 million","17,100","640 million",2011,"0.55 EUR","right","1435","third rail","750","","yes",NA,"","","yes","",1975
"Santo Domingo","Dominican Republic","America","Metro","30 Jan 2009",24.8,30,29,2,"886 m",12.4,15,"79,500","3,200","29 million",2011,"","","1435","","","","",NA,"","yes","","",2009
"Sao Paulo","Brazil","America","Metré","14 Sep 1974",78.4,71,64,6,"1,206 m",13.1,11.8,"2.4 million","30,600","877 million",2012,"0.76 EUR","right","1600","third rail (lines 1-3), overhead wire (lines 4, 5)","750 (lines 1-3), 1500 (lines 4, 5)","line 4","",2010,"lines 2, 3, 4 (since 2010)","all metro lines and regional rail","lines 4, 5","C Line: 26 km + 16 st. E Line: 22km + 7 st).Monorail included",1974
"Sapporo","Japan","Asia","Subway","16 Dec 1971",48,49,46,3,"1,043 m",16,16.3,"573,000","11,900","209 million",2008,"","left","2150, 2180 (Namboku Line)","overhead wire, third rail (Namboku Line)","1500, 750 (Namboku Line)","","yes",NA,"","","yes","According to Mr. Osamu Abe",1971
"Seattle","USA","America","Light Rail","18 Jul 2009",22.2,12,12,1,"2,018 m",22.2,12,"","","",NA,"","right","","","","","",NA,"","yes","","Downtown tunnel section considered as a full metro",2009
"Sendai","Japan","Asia","Subway","15 Jul 1987",28.7,30,29,2,"1,025 m",14.4,15,"159,000","5,540","58 million",2008,"","left","1067","overhead wire","1500","","",NA,"","","yes","",1987
"Seoul","South Korea","Asia","Subway","15 Aug 1974",326.5,302,260,9,"1,114 m",36.3,33.6,"6.9 million","21,100","2,518 million",2012,"0.54 EUR","right","1435","overhead wire","1500","","",NA,"lines 2 and 9, planned for all lines by 2010","yes","yes","Only metro section.",1974
"Seville","Spain","Europe","Metro","2 Apr 2009",18,21,21,1,"900 m",18,21,"","","",NA,"","","","","","","",NA,"Line 1","","","",2009
"Shanghai","China","Asia","Metro","10 Apr 1995",588,364,284,14,"1,680 m",42,26,"6.24 million","10,600","2,276 million",2012,"0.34 EUR","right","1435","overhead wire","1500","","",NA,"newer line 4 stations and refitted line 1 stations","yes","","Maglev and Line 22 not included",1995
"Shenyang","China","Asia","Metro","27 Sep 2010",49.5,41,40,2,"1,268 m",24.7,20.5,"","","",NA,"","right","","","","","",NA,"yes","","","",2010
"Shenzhen","China","Asia","Metro","28 Dec 2004",178.4,131,118,5,"1,416 m",35.7,26.2,"362,000","2,030","132 million",2009,"","right","1435","","","","",NA,"yes","yes","yes","",2004
"Shiraz","Iran","Asia","Metro","11 Oct 2014",10.5,6,6,1,"2,100 m",10.5,6,"","","",NA,"","","","","","","",NA,"","","","",2014
"Singapore","Singapore","Asia","MRT","7 Nov 1987",167.4,118,100,5,"1,481 m",33.5,23.6,"2.18 million","13,000","794 million",2011,"0.97 EUR","left","1435","third rail","750","North-East Line, Circle Line, Downtown Line, and the 3 rubber-tyred LRT lines","LRT lines",2003,"yes","yes","yes","",1987
"Sofia","Bulgaria","Europe","Metro","28 Jan 1998",36.2,34,33,2,"1,131 m",18.1,17,"79,500","2,190","29 million",2009,"0.51 EUR","right","1435","third rail","825","","",NA,"","","","",1998
"Stockholm","Sweden","Europe","Tunnelbana","1 Oct 1950",105.7,104,100,3,"1,047 m",35.2,34.7,"847,000","8,010","309 million",2011,"3.73 EUR","left","1435","third rail","650, 750 (Blue Line)","","",NA,"","","","According to official website. 7 operational lines",1950
"Stuttgart","Germany","Europe","Stadtbahn","10 Jun 1966",24,19,17,2,"1,412 m",12,9.5,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","yes","yes","24 km underground. (Schnellbahnen in Deutschland)",1966
"Suzhou","China","Asia","Subway","29 Apr 2012",25.7,24,24,1,"1,117 m",25.7,24,"","","",NA,"","right","","","","","",NA,"","yes","","According to Wikipedia, official website",2012
"Sydney","Australia","Oceania","Cityrail","1926",22.1,14,14,3,"2,005 m",7.4,4.7,"","","",NA,"2.92 EUR","left","","","","","",NA,"","yes","","Only underground stations in downtown",1926
"Tabriz","Iran","Asia","Metro","28 Aug 2015",7,6,6,1,"1,400 m",7,6,"","","",NA,"","","","","","","",NA,"","","","",2015
"Taipei","Taiwan","Asia","MRT","28 Mar 1996",131.3,117,108,5,"1,172 m",26.3,23.4,"1.79 million","13,600","652 million",2012,"0.60 EUR","right","2060","third rail","750","Wenshan (Muzha) VAL line","Line 1",1996,"PGDs in the busier MRT stations, PSDs in all VAL stations","yes","yes","131.3km website",1996
"Tama","Japan","Asia","Monorail","27 Nov 1998",16,19,19,1,"889 m",16,19,"","","",NA,"","left","","","","","",NA,"","","yes","",1998
"Tashkent","Uzbekistan","Asia","Metro","6 Nov 1977",36.2,29,26,3,"1,392 m",12.1,9.7,"178,000","4,920","65 million",2010,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1977
"Tbilisi","Georgia","Asia","Metro","11 Jan 1966",26.3,22,21,2,"1,315 m",13.1,11,"241,000","9,170","88 million",2008,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov",1966
"Tehran","Iran","Asia","Metro","21 Feb 2000",150.6,96,88,5,"1,655 m",30.1,19.2,"1.32 million","8,730","480 million",2011,"","","1435","third rail","750","","",NA,"","yes","","",2000
"The Hague","Netherlands","Europe","RandstadRail","16 Oct 2004",27.9,30,30,3,"1,033 m",9.3,10,"","","",NA,"","right","","","","","",NA,"","","","Full metro section length unknown (47 km?)",2004
"Tianjin","China","Asia","Metro","28 Mar 2004",136.5,87,83,4,"1,645 m",34.1,21.8,"175,000","1,280","64 million",2010,"","right","1435","third rail","825","","",NA,"platform gate doors","yes","","",2004
"Tokyo","Japan","Asia","Metro","30 Dec 1927",304.5,290,205,13,"1,099 m",23.4,22.3,"8.5 million","27,900","3,102 million",2011,"1.57 EUR","left","1067, 1435 (Ginza, Marunouchi, Asakusa, Oedo lines), 1372 (Shinjuku line)","overhead wire, third rail (Ginza, Marunouchi lines)","1500, 600 (Ginza, Marunouchi lines)","Yurikamome Waterfront line, rubber-tyred","Yurikamome line",1995,"Marunouchi, Mita, Namboku, Yurakucho, Yurikamome lines","yes","yes","According to Mr. Osamu Abe. Saitama, Yurikamone, Monorail, Yamanote, Chuo, Rinkai not incl.",1927
"Toronto","Canada","America","Subway","30 Apr 1954",71.3,74,69,4,"1,019 m",17.8,18.5,"762,000","10,700","278 million",2006,"1.67 EUR","right","1480","third rail","600","","",NA,"","yes","","",1954
"Toulouse","France","Europe","M_tro","26 Jun 1993",27.5,38,37,2,"764 m",13.8,19,"282,000","10,300","103 million",2011,"","right","2060","third rail","750","VAL","yes",1993,"VAL","","yes","",1993
"Turin","Italy","Europe","Metropolitana","4 Feb 2006",13.4,21,21,1,"670 m",13.4,21,"90,400","6,750","33 million",2011,"","right","","","","VAL","yes",2006,"VAL","yes","yes","",2006
"Valencia","Spain","Europe","Metro","3 Oct 1988",31.8,38,37,3,"909 m",10.6,12.7,"","","",NA,"","right","1000","overhead wire","1500","","",NA,"","yes","yes","Full metro section length unknown.",1988
"Valencia","Venezuela","America","Metro","18 Oct 2006",7.7,9,9,1,"962 m",7.7,9,"57,500","7,470","21 million",2010,"","","","","","","",NA,"","","","",2006
"Valparaiso","Chile","America","Metro","23 Nov 2005",43,20,20,1,"2,263 m",43,20,"","","",NA,"","right","","","","","",NA,"","","","",2005
"Vancouver","Canada","America","SkyTrain","3 Jan 1986",69.5,49,47,3,"1,511 m",23.2,16.3,"329,000","4,730","120 million",2011,"","right","1435","third rail","600","Skytrain, LIM technology, currently the world's longest automated system","",1986,"","yes","yes","",1986
"Vienna","Austria","Europe","U-Bahn","25 Feb 1978",79,104,94,5,"798 m",15.8,20.8,"1.46 million","18,500","534 million",2010,"1.70 EUR","right","1435","third rail","750","","",NA,"","yes","yes","According to official website. Premetro tunnel not included",1978
"Volgograd","Russia","Europe","Metro","5 Nov 1984",6.8,6,6,1,"1,360 m",6.8,6,"","","",NA,"","","","","","","",NA,"","","","Total system: 22 stations, 17,1 km",1984
"Warsaw","Poland","Europe","Metro","7 Apr 1995",28.7,28,27,2,"1,104 m",14.4,14,"384,000","13,400","140 million",2011,"0.47 EUR","right","1435","third rail","825","","",NA,"","","","",1995
"Washington","USA","America","Metrorail","27 Mar 1976",189.9,95,91,6,"2,134 m",31.6,15.8,"597,000","3,150","218 million",2012,"","right","1435","third rail","750","","",NA,"","yes","","",1976
"Wuhan","China","Asia","Metro","28 Sep 2004",128.3,106,100,4,"1,258 m",32.1,26.5,"200,000","1,560","73 million",2011,"","right","","","","","",NA,"","","","",2004
"Wuppertal","Germany","Europe","Schwebebahn","1 Mar 1901",13.3,20,20,1,"700 m",13.3,20,"","","",NA,"","right","","overhead rail","600","","",NA,"","","","",1901
"Wuxi","China","Asia","Metro","1 Jul 2014",56.1,46,45,2,"1,275 m",28,23,"","","",NA,"","","","","","","",NA,"","","","",2014
"Xian","China","Asia","Metro","16 Sep 2011",51.9,40,39,2,"1,366 m",26,20,"162,000","3,110","59 million",2012,"","","1435","","","","",NA,"","","yes","",2011
"Yekaterinburg","Russia","Asia","Metro","26 Apr 1991",12.7,9,9,1,"1,587 m",12.7,9,"104,000","8,200","38 million",2011,"","right","","","","","",NA,"","","","",1991
"Yerevan","Armenia","Asia","Metro","7 Mar 1981",12.1,10,10,1,"1,344 m",12.1,10,"46,600","3,850","17 million",2011,"","right","","","","","",NA,"","","","According to Mr. Yuri Popov",1981
"Yokohama","Japan","Asia","Subway","16 Dec 1972",57.6,48,45,3,"1,280 m",19.2,16,"542,000","9,420","198 million",2008,"","left","1435","third rail","750","Kanazawa Seaside line, LRT, rubber-tyred","Kanazawa Seaside LRT",1989,"Kanazawa Seaside LRT line","","yes","Kanazawa Line not included (10.6 km)",1972
"Zhengzhou","China","Asia","Metro","26 Dec 2013",25.4,20,20,1,"1,337 m",25.4,20,"","","",NA,"","","","","","","",NA,"","","","",2013
